Course Title,Section ID,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",19,717118,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",29,677110,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",27,622102,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",38,529105,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",25,660428,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",39,622562,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",32,751480,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",27,663205,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",34,450746,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",16,647770,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",39,816925,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",24,626678,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",38,692407,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",13,660613,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",14,660430,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",33,656307,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",2,721061,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",38,657629,P
Advisory,0813Q-4A-NEL,Q4,1,"Nelson, Matthew",42,698398,NP
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",18,752807,B
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",33,768014,D
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",42,811704,D
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",44,604338,NG
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",36,674111,D
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",40,649699,D
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",36,604839,D
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",37,652248,NG
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",26,801012,B
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",0,604668,NG
D: Math Properties & Proofs Q3,2003SQ3-A-P5B,Q4,5,"Nelson, Matthew",43,698398,NG
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",18,752807,B
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",33,768014,D
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",42,811704,D
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",44,604338,NG
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",36,674111,D
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",40,649699,D
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",36,604839,D
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",37,652248,NG
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",26,801012,B
D: Math Properties & Proofs Q4,2003SQ4-A-P5B,Q4,5,"Nelson, Matthew",43,698398,NG
Personal Growth/Life Skills,0516PQ-4A-P6,Q4,6,"Nelson, Matthew",17,752807,A
